"","uniprot_name","uniprot_accessions","knownness","gene_name","protein_name","taxon_id","species","cluster_id","panther_group"
"1","ANR46_HUMAN","Q86W74",0,"ANKRD46","Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)",9606,"Homo sapiens","UKP05919","PTHR24166"
"2","ANR46_HUMAN","Q6P9B7",0,"ANKRD46","Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)",9606,"Homo sapiens","UKP05919","PTHR24166"
"3","PXDC2_HUMAN","Q6UX71",0,"PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)",9606,"Homo sapiens","UKP07766","PTHR13055"
"4","PXDC2_HUMAN","Q96E59",0,"PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)",9606,"Homo sapiens","UKP07766","PTHR13055"
"5","PXDC2_HUMAN","Q96PD9",0,"PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)",9606,"Homo sapiens","UKP07766","PTHR13055"
"6","PXDC2_HUMAN","Q96SU9",0,"PLXDC2","Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)",9606,"Homo sapiens","UKP07766","PTHR13055"
"7","SFT2A_HUMAN","Q8WV19",0,"SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)",9606,"Homo sapiens","UKP00688","PTHR23137"
"8","SFT2A_HUMAN","Q5TI64",0,"SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)",9606,"Homo sapiens","UKP00688","PTHR23137"
"9","SFT2A_HUMAN","Q9UIC7",0,"SFT2D1","Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)",9606,"Homo sapiens","UKP00688","PTHR23137"
"10","CA216_HUMAN","Q8TAB5",0,"C1orf216","UPF0500 protein C1orf216",9606,"Homo sapiens","UKP08851","PTHR35673"
"11","CA216_HUMAN","D3DPS1",0,"C1orf216","UPF0500 protein C1orf216",9606,"Homo sapiens","UKP08851","PTHR35673"
"12","CA216_HUMAN","Q8N8N6",0,"C1orf216","UPF0500 protein C1orf216",9606,"Homo sapiens","UKP08851","PTHR35673"
"13","T179B_HUMAN","Q7Z7N9",0,"TMEM179B","Transmembrane protein 179B",9606,"Homo sapiens","UKP13500","PTHR31056"
"14","FCGBP_HUMAN","Q9Y6R7",0,"FCGBP","IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)",9606,"Homo sapiens","UKP07555","PTHR11339"
"15","FCGBP_HUMAN","O95784",0,"FCGBP","IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)",9606,"Homo sapiens","UKP07555","PTHR11339"
"16","SFT2B_HUMAN","O95562",0,"SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)",9606,"Homo sapiens","UKP00688","PTHR23137"
"17","SFT2B_HUMAN","A8K2R0",0,"SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)",9606,"Homo sapiens","UKP00688","PTHR23137"
"18","SFT2B_HUMAN","Q6UWR8",0,"SFT2D2","Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)",9606,"Homo sapiens","UKP00688","PTHR23137"
"19","ANR55_HUMAN","Q3KP44",0,"ANKRD55","Ankyrin repeat domain-containing protein 55",9606,"Homo sapiens","UKP08233","PTHR24173"
"20","ANR55_HUMAN","B3KVT8",0,"ANKRD55","Ankyrin repeat domain-containing protein 55",9606,"Homo sapiens","UKP08233","PTHR24173"
"21","ANR55_HUMAN","Q3KP45",0,"ANKRD55","Ankyrin repeat domain-containing protein 55",9606,"Homo sapiens","UKP08233","PTHR24173"
"22","ANR55_HUMAN","Q9HAD3",0,"ANKRD55","Ankyrin repeat domain-containing protein 55",9606,"Homo sapiens","UKP08233","PTHR24173"
"23","WBP1L_HUMAN","Q9NX94",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"24","WBP1L_HUMAN","B3KPF4",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"25","WBP1L_HUMAN","B7Z6S7",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"26","WBP1L_HUMAN","D3DR90",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"27","WBP1L_HUMAN","Q1EG70",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"28","WBP1L_HUMAN","Q2HIY7",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"29","WBP1L_HUMAN","Q5F2G6",0,"WBP1L","WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)",9606,"Homo sapiens","UKP07454","PTHR16209"
"30","CC167_HUMAN","Q9P0B6",0,"CCDC167","Coiled-coil domain-containing protein 167",9606,"Homo sapiens","UKP08959","PTHR31759"
"31","CC167_HUMAN","Q5T7F7",0,"CCDC167","Coiled-coil domain-containing protein 167",9606,"Homo sapiens","UKP08959","PTHR31759"
"32","CC167_HUMAN","Q9BTQ9",0,"CCDC167","Coiled-coil domain-containing protein 167",9606,"Homo sapiens","UKP08959","PTHR31759"
"33","TM205_HUMAN","Q6UW68",0,"TMEM205","Transmembrane protein 205",9606,"Homo sapiens","UKP09204","PTHR46916"
"34","TULP4_HUMAN","Q9NRJ4",0,"TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)",9606,"Homo sapiens","UKP02085","PTHR16517"
"35","TULP4_HUMAN","Q5T3M2",0,"TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)",9606,"Homo sapiens","UKP02085","PTHR16517"
"36","TULP4_HUMAN","Q5T3M3",0,"TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)",9606,"Homo sapiens","UKP02085","PTHR16517"
"37","TULP4_HUMAN","Q9HD22",0,"TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)",9606,"Homo sapiens","UKP02085","PTHR16517"
"38","TULP4_HUMAN","Q9P2F0",0,"TULP4","Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)",9606,"Homo sapiens","UKP02085","PTHR16517"
"39","MANBL_HUMAN","Q9NQG1",0,"MANBAL","Protein MANBAL",9606,"Homo sapiens","UKP09838","PTHR14409"
"40","MANBL_HUMAN","A8KAA6",0,"MANBAL","Protein MANBAL",9606,"Homo sapiens","UKP09838","PTHR14409"
"41","MANBL_HUMAN","E1P5V3",0,"MANBAL","Protein MANBAL",9606,"Homo sapiens","UKP09838","PTHR14409"
"42","KPRP_HUMAN","Q5T749",0,"KPRP","Keratinocyte proline-rich protein (hKPRP)",9606,"Homo sapiens","UKP14144","PTHR48138"
"43","CH033_HUMAN","Q9H7E9",0,"C8orf33","UPF0488 protein C8orf33",9606,"Homo sapiens","UKP08716","PTHR13602"
"44","CH033_HUMAN","A6NGC0",0,"C8orf33","UPF0488 protein C8orf33",9606,"Homo sapiens","UKP08716","PTHR13602"
"45","CH033_HUMAN","Q96BT8",0,"C8orf33","UPF0488 protein C8orf33",9606,"Homo sapiens","UKP08716","PTHR13602"
"46","CKLF4_HUMAN","Q8IZR5",0,"CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)",9606,"Homo sapiens","UKP06977","PTHR22776"
"47","CKLF4_HUMAN","Q52M40",0,"CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)",9606,"Homo sapiens","UKP06977","PTHR22776"
